Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angle_0,angle_1,angle_2,angle_3,polynomial,first_timestamp,sync_timestamp,first_sweep
1709637589.9534445,1359,1709637589,961587799,,0.7275792333849962,0.721942541337877,0.7463289472827013,0.7407852384814317,10,9083530,8715151,False
1709637589.9534445,1360,1709637589,961589011,,-0.622530640494392,-0.633511127364204,-0.6259819878454662,-0.6371092213507152,10,9295849,9186647,True
1709637589.9737108,1361,1709637589,975934516,,0.7323366377123888,0.726846334672838,0.751286146379381,0.7457958433398302,10,9555399,9186649,False
1709637589.9837854,1362,1709637589,985802932,,-0.6130158318396068,-0.6241030110235668,-0.6161608113165356,-0.6273545636053539,10,9768093,9658155,True
1709637589.9837854,1363,1709637589,991640956,,0.7370940420397813,0.7316967222460802,0.7559634420641954,0.7506328794726427,10,10027271,9658156,False
1709637589.9938643,1364,1709637589,999904955,,-0.6034612072821117,-0.6146282566900707,-0.606272996794746,-0.6175733221884228,10,10240327,10129653,True
1709637590.003917,1365,1709637590,13264702,,0.7417045805224474,0.7364011976489122,0.7606273863085802,0.7554703924426134,10,10499119,10129655,False
1709637590.0140076,1366,1709637590,19634310,,-0.5937065495367504,-0.6050869835730053,-0.5963584793920971,-0.6075655831213451,10,10712574,10601157,True
1709637590.0241008,1367,1709637590,31680034,,0.7462087843188341,0.7411714765795763,0.7651849958666856,0.7601743910082872,10,10970973,10601156,False
1709637590.0443165,1368,1709637590,48628238,,-0.5840052975531078,-0.5952656878347851,-0.5862706316824413,-0.5975710762854076,10,11184823,11072659,True
1709637590.0443165,1369,1709637590,48633543,,0.7507396909960802,0.7457958433398302,0.7697159025439317,0.7647987577685411,10,11442827,11072660,False
1709637590.0645528,1370,1709637590,68169740,,-0.574210704695747,-0.585604370963142,-0.5762762440557934,-0.5875232828970409,10,11657075,11544158,True
1709637590.0645528,1371,1709637590,73180701,,0.7549372884997423,0.7501798841723497,0.7739535543688829,0.7691961500414903,10,11914656,11544158,False
1709637590.0847528,1372,1709637590,85970906,,-0.5644027603979564,-0.5757431401129223,-0.5660019530172802,-0.5774489058371044,10,12129331,12015658,True
1709637590.0847528,1373,1709637590,88045494,,0.7592283460864122,0.7545911047228868,0.7782579633959825,0.7737137052783067,10,12386488,12015661,False
1709637590.1049702,1374,1709637590,110693407,,-0.5546615733023144,-0.5660019530172802,-0.5559008730764843,-0.5674543990011669,10,12601589,12487160,True
1709637590.1049702,1375,1709637590,110694017,,0.7631994459399278,0.7586952421435411,0.7822290632494981,0.7777382108935411,10,12858298,12487164,False
1709637590.115098,1376,1709637590,115642403,,-0.5448136938925243,-0.5561940087194897,-0.5458664311285473,-0.5573133839483715,10,13073850,12958665,True
1709637590.1352901,1377,1709637590,135815979,,0.767103788591295,0.7626663419970567,0.7860933515795763,0.7817889425524767,10,13330102,12958668,False
1709637590.1352901,1378,1709637590,135816586,,-0.5350456847067333,-0.5464794052954174,-0.5356853617544628,-0.5471989525671459,10,13546108,13430171,True
1709637590.1453774,1379,1709637590,147655919,,0.7708750936755235,0.7665706846484239,0.7898513052233751,0.785653707719713,10,13801898,13430172,False
1709637590.1655576,1380,1709637590,166422353,,-0.5253044976110912,-0.5367514504309154,-0.525744260680244,-0.5372578514929272,10,14018363,13901680,True
1709637590.1655576,1381,1709637590,168490468,,0.7744599554308946,0.7703953954943712,0.7935024473437364,0.7894116613635118,10,14273691,13901679,False
1709637590.175638,1382,1709637590,175675810,,-0.5155099047537304,-0.5268502844686962,-0.5156565321798778,-0.5270234955664135,10,14490634,14373182,True
1709637590.1958325,1383,1709637590,199985328,,0.7780710432299669,0.774113294816881,0.7969938490160997,0.7931162092455919,10,14745477,14373186,False
