vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega
2.200990,-0.019764,2.217962,0.117063,0.449903,-0.000010,0.000324,0.017512
2.215708,-0.020249,2.156866,0.114121,0.439903,0.000235,0.000620,0.018886
2.229601,-0.020133,2.103912,0.113636,0.429903,0.000446,0.000140,0.008566
2.242492,-0.020127,2.061068,0.115195,0.419903,0.000092,-0.000045,-0.004251
2.253648,-0.019638,2.034831,0.120173,0.409903,0.000868,-0.000937,-0.031589
2.264030,-0.019238,2.026048,0.129760,0.399903,0.000717,-0.000513,-0.032510
2.272293,-0.017107,2.080190,0.141316,0.389903,0.000201,-0.000369,-0.023925
2.278009,-0.015415,2.194265,0.155013,0.379903,0.000389,-0.000465,-0.028450
2.281664,-0.015182,2.338784,0.167514,0.369903,0.000372,-0.000437,-0.025453
2.283076,-0.016555,2.496626,0.179377,0.359903,0.001657,-0.001541,-0.050166
2.283522,-0.020440,2.625157,0.190270,0.349903,0.001231,-0.000623,-0.035444
2.281236,-0.023379,2.760228,0.197055,0.339903,0.000195,-0.000124,-0.009038
2.276058,-0.026892,2.897398,0.201305,0.329903,0.000150,-0.000069,-0.006158
2.269202,-0.031501,3.003092,0.203594,0.320026,0.000171,-0.000023,-0.002962
2.260904,-0.036224,3.078567,0.202944,0.312029,-0.000081,0.000082,0.001113
2.251365,-0.040498,3.124588,0.200264,0.306339,-0.000090,0.000101,0.003546
2.241340,-0.043986,3.142256,0.197257,0.300601,-0.000522,0.000190,0.004021
2.230518,-0.046180,3.137397,0.191854,0.299147,-0.000616,0.000267,0.008719
2.220011,-0.047184,3.113833,0.183858,0.298323,-0.000735,0.000363,0.013785
2.210200,-0.047261,3.068237,0.174655,0.299096,-0.000783,0.000366,0.014738
2.201489,-0.046545,2.996531,0.162598,0.300961,-0.000906,0.000470,0.020948
2.194219,-0.045162,2.896484,0.148153,0.303566,-0.001002,0.000590,0.027666
2.188711,-0.043342,2.760672,0.132074,0.306565,-0.000876,0.000684,0.035537
2.185315,-0.041148,2.585731,0.113652,0.309608,-0.001011,0.000821,0.043931
2.183851,-0.038791,2.363566,0.096426,0.311850,-0.000788,0.000774,0.043782
2.184344,-0.035843,2.103530,0.077922,0.313880,-0.000990,0.000871,0.049764
2.186236,-0.032580,1.813750,0.062631,0.315455,-0.000855,0.000707,0.041333
2.189431,-0.028727,1.515427,0.049675,0.317830,-0.000871,0.000674,0.038352
2.193579,-0.024337,1.239255,0.038290,0.321903,-0.000728,0.000586,0.034463
2.198802,-0.020275,0.991321,0.026480,0.326589,-0.000744,0.000622,0.037054
2.204846,-0.017182,0.763901,0.013628,0.332295,-0.000759,0.000710,0.042852
2.211674,-0.015256,0.541561,-0.000348,0.339041,-0.000737,0.000784,0.046377
2.219236,-0.014303,0.309572,-0.015021,0.345676,-0.000800,0.000963,0.054794
2.227297,-0.013657,0.069498,-0.029854,0.352247,-0.000697,0.001053,0.058606
2.235844,-0.013086,-0.180160,-0.045973,0.358769,-0.000633,0.000886,0.053477
2.244625,-0.012858,-0.452958,-0.061872,0.365397,-0.000605,0.000840,0.051394
2.253471,-0.012021,-0.732169,-0.076438,0.372075,-0.000624,0.000887,0.050909
2.262238,-0.010183,-0.999410,-0.091200,0.378931,-0.000600,0.003102,0.104704
2.270812,-0.005708,-1.202985,-0.105241,0.386124,-0.000517,0.001714,0.096006
2.279047,-0.004337,-1.417376,-0.118167,0.393055,-0.000630,0.000520,0.033795
2.286863,-0.003310,-1.689474,-0.128274,0.399596,-0.000815,0.000364,0.025814
2.294278,0.000530,-1.922884,-0.136938,0.405861,-0.000769,0.000295,0.020845
2.301403,0.005639,-2.115214,-0.143448,0.411407,-0.000937,0.000275,0.019113
2.308034,0.011353,-2.265422,-0.148624,0.415874,-0.000689,0.000220,0.014045
2.314479,0.016943,-2.384091,-0.151077,0.419165,-0.000878,0.000012,0.006103
2.320447,0.022354,-2.473316,-0.152328,0.421947,-0.000811,-0.000030,0.003575
2.326223,0.027488,-2.532746,-0.153133,0.424522,-0.000813,-0.000043,0.002201
2.331748,0.031958,-2.570077,-0.152165,0.426907,-0.000893,-0.000123,-0.001711
2.337160,0.035809,-2.588257,-0.150226,0.429089,-0.001072,-0.000348,-0.008161
2.342452,0.038853,-2.592505,-0.148330,0.430964,-0.001054,-0.000222,-0.007197
2.347862,0.041442,-2.581398,-0.146274,0.432513,-0.000725,-0.000138,-0.003754
2.353704,0.043357,-2.557173,-0.144076,0.433238,-0.001038,-0.000173,-0.003818
2.359298,0.044458,-2.527783,-0.141638,0.433508,-0.000640,-0.000176,-0.005766
2.365366,0.045000,-2.496692,-0.137611,0.431785,-0.000586,-0.000234,-0.009717
2.371570,0.045382,-2.458798,-0.134107,0.428866,-0.000515,-0.000182,-0.007589
2.377740,0.045530,-2.412826,-0.131692,0.425037,-0.000404,-0.000137,-0.005189
2.383743,0.045147,-2.367013,-0.130833,0.419646,-0.000270,-0.000074,-0.001670
2.389348,0.044224,-2.329326,-0.131821,0.412487,-0.000032,0.000008,0.002786
2.394352,0.042910,-2.307103,-0.133446,0.403292,0.000520,0.000213,0.008310
2.398825,0.041772,-2.298307,-0.136801,0.393292,0.000574,0.000171,0.011898
2.402020,0.040549,-2.309133,-0.139127,0.383292,0.000052,0.000057,0.005470
2.403464,0.039816,-2.337748,-0.146415,0.373292,0.000140,0.000210,0.015667
2.403330,0.039280,-2.384652,-0.152815,0.363292,0.000218,0.000181,0.013028
2.401681,0.039245,-2.450638,-0.161321,0.353324,0.001088,0.001017,0.035125
2.399110,0.040551,-2.511311,-0.170866,0.344503,0.001082,0.000589,0.035014
2.394685,0.041167,-2.589536,-0.181705,0.336605,0.000305,0.000262,0.017885
2.387660,0.041816,-2.699667,-0.191515,0.329839,0.000255,0.000237,0.014456
2.379013,0.043713,-2.811581,-0.201086,0.324514,0.000132,0.000192,0.013267
2.368745,0.046475,-2.917327,-0.208988,0.321148,0.000206,0.000160,0.010916
2.357357,0.049807,-3.011665,-0.216144,0.319094,0.000419,0.000471,0.017232
2.345245,0.053613,-3.084254,-0.221179,0.318422,0.000772,0.000759,0.027084
2.332856,0.057300,-3.130696,-0.222073,0.319254,0.001044,0.000872,0.028979
2.320672,0.060296,-3.156636,-0.222962,0.321048,0.001046,0.000970,0.032312
2.308615,0.062251,-3.166866,-0.226891,0.324379,0.000871,0.001132,0.037994
2.296471,0.062930,-3.170581,-0.228741,0.328279,0.000775,0.001237,0.041627
2.284628,0.062614,-3.169611,-0.231279,0.331812,0.000743,0.001419,0.046074
2.273119,0.061530,-3.167344,-0.232379,0.334515,-0.000838,0.000160,0.020663
2.260558,0.058559,-3.192621,-0.216389,0.336075,-0.001102,-0.000390,-0.014907
2.249689,0.056847,-3.218577,-0.202074,0.339738,-0.001845,-0.001205,-0.034640
2.240006,0.056037,-3.221648,-0.189332,0.344655,-0.003561,-0.002580,-0.077550
2.230534,0.054800,-3.225920,-0.178353,0.349316,-0.002474,-0.001004,-0.045833
2.223880,0.056280,-3.156565,-0.167171,0.354613,-0.001761,-0.001458,-0.043821
2.219623,0.055797,-3.053152,-0.158081,0.359007,-0.001571,-0.000811,-0.037855
2.217070,0.054210,-2.929209,-0.150038,0.362503,-0.000929,-0.000407,-0.016986
2.216525,0.051247,-2.780530,-0.143416,0.365627,-0.000414,-0.000251,-0.012917
2.217740,0.046654,-2.640095,-0.138095,0.367276,-0.001315,-0.000379,-0.011484
2.219050,0.041173,-2.518499,-0.129670,0.370272,-0.000444,-0.000323,-0.017296
